AccSpeciesName,count,AccSpeciesID,Genus,SpeciesEpithet,Family,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,param_count_before,param_count_after,PFT
Chrysophyllum lacourtianum,16,12667,Chrysophyllum,lacourtianum,Sapotaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Chrysophyllum perpulchrum,2,12675,Chrysophyllum,perpulchrum,Sapotaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Chytranthus carneus,1,12895,Chytranthus,carneus,Sapindaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Citropsis daweana,1,13190,Citropsis,daweana,Rutaceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cladostemon kirkii,10,13235,Cladostemon,kirkii,Capparaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Clausena anisata,71,13287,Clausena,anisata,Rutaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cleistanthus polystachyus,16,13327,Cleistanthus,polystachyus,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Cleistanthus schlechteri,9,13328,Cleistanthus,schlechteri,Euphorbiaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cleistopholis patens,2,13362,Cleistopholis,patens,Annonaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Coelocaryon preussii,40,13776,Coelocaryon,preussii,Myristicaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Coffea arabica,64,13809,Coffea,arabica,Rubiaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Coffea liberica,2,13820,Coffea,liberica,Rubiaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Coffea racemosa,2,13823,Coffea,racemosa,Rubiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cojoba arborea,7,13844,Cojoba,arborea,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cola acuminata,2,13848,Cola,acuminata,Sterculiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cola chlamydantha,4,13850,Cola,chlamydantha,Sterculiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cola congolana,4,13852,Cola,congolana,Sterculiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cola gigantea,47,13857,Cola,gigantea,Sterculiaceae,tree,broadleaved,evergreen,,1,3,BET-Tr
Cola greenwayi,13,13858,Cola,greenwayi,Sterculiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cola lateritia,7,13860,Cola,lateritia,Sterculiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cola lepidota,2,13861,Cola,lepidota,Sterculiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cola minor,2,13864,Cola,minor,Sterculiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cola pachycarpa,2,13868,Cola,pachycarpa,Sterculiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cola rostrata,2,13869,Cola,rostrata,Sterculiaceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Colpoon compressum,2,66774,Colpoon,compressum,Santalaceae,tree,broadleaved,evergreen,,0,3,BET-Tr
Combretum collinum,12,14015,Combretum,collinum,Combretaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Combretum zeyheri,8,14067,Combretum,zeyheri,Combretaceae,shrub/tree,broadleaved,evergreen,,3,3,BET-Tr
Commiphora schimperi,2,14134,Commiphora,schimperi,Burseraceae,shrub/tree,broadleaved,evergreen,C3,3,4,BET-Tr
Copaifera mildbraedii,11,14303,Copaifera,mildbraedii,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Coptosperma nigrescens,2,14357,Coptosperma,nigrescens,Rubiaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Coptosperma supra-axillare,2,66871,Coptosperma,supra-axillare,Rubiaceae,shrub/tree,broadleaved,evergreen,,1,3,BET-Tr
Cordia caffra,5,14403,Cordia,caffra,Boraginaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cordia dentata,2,14408,Cordia,dentata,Boraginaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cordia megalantha,13,14436,Cordia,megalantha,Boraginaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cordia monoica,2,14439,Cordia,monoica,Boraginaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Cordyla africana,2,14476,Cordyla,africana,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cornus volkensii,10,14604,Cornus,volkensii,Cornaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Corymbia citriodora,2,14706,Corymbia,citriodora,Myrtaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Corynanthe pachyceras,18,14741,Corynanthe,pachyceras,Rubiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
